id_assessment,id_student,date_submitted,is_banked,score
1,1,30,0,64.8
2,1,60,0,69.2
3,1,88,0,82.7
4,1,238,0,73.4
21,2,30,0,92.7
22,2,59,0,72.4
23,2,87,0,75.4
24,2,237,0,93.2
17,3,31,0,54.9
18,3,61,0,33.5
19,3,94,0,47.7
20,3,242,0,61.0
13,4,32,0,58.3
14,4,59,0,64.3
15,4,94,0,72.4
16,4,247,0,51.2
13,5,30,0,53.5
14,5,66,0,61.5
15,5,89,0,78.4
16,5,240,0,48.2
25,6,34,0,58.2
26,6,60,0,41.3
27,6,92,0,40.9
28,6,242,0,53.0
1,7,31,0,65.0
2,7,66,0,60.7
3,7,97,0,62.8
4,7,241,0,74.0
17,8,37,0,52.4
5,9,33,0,27.4
6,9,63,0,52.1
7,9,96,0,57.2
8,9,244,0,60.8
1,10,30,0,79.5
2,10,60,0,65.7
3,10,88,0,89.4
4,10,241,0,87.7
13,11,29,0,74.3
14,11,60,0,72.2
15,11,88,0,88.5
16,11,240,0,78.3
25,12,29,0,33.2
21,13,31,0,58.3
22,13,60,0,70.3
23,13,94,0,53.3
24,13,244,0,50.6
21,14,37,0,31.2
22,14,61,0,47.9
23,14,95,0,46.7
24,14,239,0,38.3
21,15,30,0,80.7
22,15,61,0,67.2
23,15,87,0,58.0
24,15,241,0,74.9
21,16,36,0,63.6
22,16,65,0,60.3
13,17,31,0,88.3
14,17,59,0,100.0
15,17,90,0,95.1
16,17,241,0,84.2
1,18,36,0,63.1
2,18,60,0,53.8
3,18,97,0,50.4
4,18,241,0,56.6
21,19,31,0,68.2
22,19,59,0,63.7
23,19,88,0,76.2
24,19,237,0,68.1
13,20,32,0,59.9
14,20,61,0,30.9
15,20,95,0,49.5
16,20,239,0,39.7
13,21,32,0,44.0
14,21,59,0,57.3
15,21,89,0,63.7
9,22,35,0,22.9
5,23,35,0,59.0
6,23,62,0,51.7
25,24,34,0,59.9
26,24,66,0,28.2
28,24,241,0,54.1
21,25,27,0,80.1
22,25,58,0,59.7
23,25,90,0,69.1
24,25,240,0,59.5
17,26,33,0,45.0
18,26,63,0,53.1
9,27,32,0,45.4
21,28,36,0,53.3
22,28,61,0,65.5
23,28,94,0,59.0
24,28,242,0,62.9
13,29,34,0,30.6
14,29,61,0,49.7
15,29,89,0,51.6
16,29,246,0,53.9
13,30,37,0,21.1
13,31,29,0,70.5
14,31,61,0,55.6
15,31,88,0,63.1
16,31,238,0,69.3
5,32,35,0,51.4
6,32,65,0,28.1
7,32,93,0,40.8
8,32,242,0,19.4
1,33,30,0,59.4
2,33,64,0,36.1
3,33,91,0,45.8
4,33,245,0,59.0
13,34,36,0,67.3
14,34,63,0,52.1
15,34,93,0,56.9
16,34,242,0,44.6
25,35,29,0,82.2
26,35,59,0,78.4
27,35,89,0,70.8
28,35,238,0,70.1
1,36,30,0,62.1
2,36,60,0,87.9
3,36,87,0,73.7
4,36,241,0,50.7
25,37,27,0,71.3
26,37,57,0,66.5
27,37,90,0,49.1
28,37,237,0,67.9
21,38,37,0,34.7
5,39,30,0,44.2
6,39,61,0,47.1
7,39,94,0,48.3
8,39,243,0,54.8
17,40,33,0,78.1
18,40,60,0,65.3
19,40,96,0,51.4
20,40,242,0,47.1
5,41,31,0,97.2
6,41,58,0,73.0
7,41,88,0,85.1
8,41,238,0,89.9
21,42,29,0,48.2
22,42,58,0,75.6
23,42,90,0,84.4
24,42,240,0,76.4
17,43,34,0,54.0
9,44,37,0,55.2
10,44,60,0,32.7
11,44,90,0,44.2
12,44,243,0,34.7
1,45,30,0,86.6
2,45,60,0,87.9
3,45,88,0,76.2
4,45,239,0,68.8
25,46,35,0,27.9
26,46,59,0,51.3
27,46,92,0,55.5
28,46,239,0,28.7
13,47,35,0,61.1
14,47,63,0,53.4
15,47,97,0,46.6
16,47,241,0,50.8
25,48,31,0,64.6
26,48,61,0,76.0
27,48,89,0,62.2
28,48,239,0,82.3
17,49,37,0,60.3
18,49,60,0,55.7
21,50,31,0,74.7
22,50,59,0,92.6
23,50,87,0,81.3
24,50,237,0,81.6
21,51,30,0,86.3
22,51,57,0,67.5
23,51,90,0,71.4
24,51,241,0,69.2
5,52,34,0,65.2
6,52,63,0,32.4
7,52,92,0,57.0
8,52,242,0,77.0
9,53,29,0,73.8
10,53,67,0,73.5
11,53,94,0,69.9
12,53,243,0,76.5
13,54,27,0,70.0
14,54,61,0,66.9
15,54,88,0,89.3
16,54,238,0,85.8
13,55,36,0,35.1
1,56,31,0,57.2
2,56,64,0,65.3
3,56,92,0,53.6
4,56,243,0,63.8
13,57,36,0,71.3
5,58,33,0,78.5
6,58,59,0,72.0
7,58,90,0,70.9
8,58,243,0,52.1
21,59,31,0,38.1
22,59,59,0,44.5
17,60,30,0,62.4
18,60,60,0,60.1
19,60,90,0,60.0
20,60,241,0,64.4
25,61,29,0,37.5
21,62,33,0,64.5
22,62,64,0,62.2
23,62,89,0,76.6
24,62,239,0,56.5
9,63,34,0,38.5
10,63,59,0,45.3
25,64,29,0,64.9
26,64,59,0,58.3
27,64,88,0,79.9
28,64,241,0,66.4
9,65,35,0,63.4
10,65,65,0,58.5
11,65,94,0,76.7
12,65,243,0,61.9
9,66,31,0,78.8
10,66,59,0,83.4
11,66,91,0,72.5
12,66,238,0,57.3
25,67,34,0,37.6
26,67,65,0,36.2
27,67,94,0,58.6
28,67,239,0,53.8
9,68,29,0,77.1
10,68,58,0,84.8
11,68,87,0,58.2
12,68,239,0,66.9
1,69,29,0,53.3
2,69,59,0,70.4
3,69,90,0,52.5
4,69,241,0,56.9
13,70,33,0,60.8
14,70,59,0,56.1
21,71,36,0,48.6
22,71,63,0,65.6
23,71,94,0,45.5
24,71,246,0,59.7
5,72,35,0,57.4
13,73,29,0,61.9
14,73,66,0,67.7
15,73,97,0,42.0
16,73,243,0,68.1
1,74,30,0,25.1
2,74,64,0,49.1
17,75,27,0,82.5
18,75,58,0,62.3
19,75,91,0,76.6
20,75,239,0,67.8
13,76,33,0,50.8
14,76,64,0,58.0
9,77,36,0,52.0
10,77,59,0,60.5
11,77,92,0,30.5
5,78,29,0,82.6
6,78,63,0,31.7
7,78,96,0,54.0
8,78,243,0,32.2
13,79,29,0,66.1
14,79,58,0,83.9
15,79,87,0,68.2
16,79,241,0,75.7
17,80,33,0,63.1
18,80,60,0,48.8
25,81,28,0,59.1
26,81,59,0,89.2
27,81,89,0,92.2
28,81,237,0,72.3
13,82,30,0,65.3
14,82,61,0,82.0
15,82,88,0,77.5
16,82,239,0,87.8
5,83,30,0,52.7
6,83,59,0,85.4
7,83,91,0,39.5
8,83,241,0,72.7
21,84,35,0,76.3
22,84,59,0,73.9
17,85,31,0,45.2
18,85,65,0,55.4
19,85,92,0,68.0
20,85,241,0,48.6
17,86,28,0,79.4
18,86,57,0,66.9
19,86,90,0,52.6
20,86,241,0,76.7
1,87,30,0,87.8
2,87,60,0,94.3
3,87,91,0,79.1
4,87,238,0,83.4
9,88,33,0,59.9
10,88,65,0,74.0
11,88,95,0,69.0
12,88,245,0,50.5
21,89,30,0,64.3
22,89,60,0,65.0
23,89,89,0,75.1
24,89,239,0,65.0
21,90,32,0,64.3
22,90,67,0,59.0
23,90,95,0,30.1
24,90,242,0,57.1
13,91,28,0,75.2
14,91,60,0,85.4
15,91,90,0,76.3
16,91,237,0,90.9
21,92,34,0,41.7
22,92,60,0,74.8
21,93,35,0,55.5
22,93,60,0,55.1
9,94,31,0,56.8
25,95,27,0,65.7
26,95,58,0,67.4
27,95,90,0,85.6
28,95,241,0,74.9
9,96,33,0,68.6
10,96,60,0,22.6
5,97,37,0,54.5
17,98,29,0,31.9
18,98,63,0,31.7
17,99,32,0,48.8
18,99,59,0,38.3
19,99,96,0,46.0
20,99,245,0,51.2
1,100,29,0,84.4
2,100,59,0,67.4
3,100,91,0,54.3
4,100,237,0,62.4
21,101,36,0,67.1
5,102,31,0,47.4
6,102,57,0,69.8
7,102,89,0,75.4
8,102,237,0,82.1
21,103,37,0,22.9
22,103,66,0,64.0
1,104,31,0,20.9
2,104,65,0,36.9
3,104,97,0,58.9
4,104,239,0,44.2
21,105,29,0,41.4
22,105,64,0,66.2
23,105,96,0,62.4
24,105,247,0,71.8
21,106,30,0,22.8
22,106,62,0,26.9
23,106,94,0,51.6
24,106,239,0,64.0
21,107,31,0,85.5
22,107,57,0,93.7
23,107,91,0,77.9
24,107,241,0,100.0
17,108,36,0,53.5
18,108,60,0,51.9
19,108,97,0,58.5
20,108,241,0,35.2
13,109,31,0,31.7
14,109,62,0,37.0
15,109,89,0,36.7
16,109,247,0,32.6
17,110,31,0,68.3
18,110,61,0,74.7
19,110,91,0,74.3
20,110,237,0,56.1
5,111,30,0,58.9
6,111,65,0,55.4
7,111,90,0,60.7
8,111,240,0,34.4
21,112,37,0,56.4
13,113,30,0,28.0
14,113,60,0,42.6
13,114,29,0,73.5
14,114,59,0,75.8
15,114,91,0,92.8
16,114,238,0,90.1
13,115,32,0,43.3
14,115,62,0,20.1
13,116,33,0,34.5
1,117,27,0,84.4
2,117,59,0,84.8
3,117,88,0,100.0
4,117,237,0,85.9
1,118,33,0,54.8
3,118,96,0,69.2
5,119,37,0,39.3
6,119,64,0,42.6
1,120,33,0,35.3
2,120,62,0,39.6
3,120,89,0,41.8
4,120,244,0,19.1
13,121,29,0,85.0
14,121,59,0,76.6
15,121,91,0,61.8
16,121,241,0,72.3
17,122,37,0,62.1
17,123,36,0,73.7
18,123,66,0,50.3
19,123,91,0,56.5
20,123,239,0,43.0
13,124,31,0,60.7
14,124,65,0,56.5
15,124,96,0,42.6
16,124,244,0,47.2
21,125,30,0,29.4
22,125,60,0,63.1
23,125,89,0,44.9
24,125,241,0,50.4
13,126,36,0,53.3
14,126,64,0,43.5
15,126,90,0,18.2
16,126,247,0,39.5
1,127,35,0,59.9
21,128,31,0,69.5
22,128,60,0,65.5
23,128,89,0,77.9
24,128,241,0,81.5
17,129,34,0,70.4
18,129,61,0,51.7
17,130,31,0,68.3
18,130,59,0,58.0
19,130,89,0,86.3
20,130,239,0,55.3
13,131,31,0,53.9
14,131,65,0,61.7
15,131,93,0,66.0
16,131,244,0,51.3
13,132,29,0,69.1
14,132,61,0,91.5
15,132,95,0,67.9
16,132,245,0,50.2
1,133,28,0,86.1
2,133,60,0,97.1
3,133,90,0,100.0
4,133,241,0,80.4
13,134,36,0,47.6
21,135,37,0,20.4
22,135,59,0,44.2
23,135,91,0,47.1
24,135,241,0,39.5
9,136,28,0,66.7
10,136,59,0,94.5
11,136,89,0,54.4
12,136,241,0,81.9
17,137,30,0,79.9
18,137,58,0,73.5
19,137,88,0,63.9
20,137,238,0,47.0
1,138,30,0,64.6
2,138,61,0,75.7
3,138,89,0,84.8
4,138,241,0,80.1
9,139,28,0,75.3
10,139,61,0,100.0
11,139,90,0,63.5
12,139,237,0,66.2
13,140,31,0,22.2
14,140,59,0,23.3
15,140,94,0,21.5
16,140,241,0,38.2
25,141,30,0,43.5
26,141,64,0,43.4
27,141,95,0,60.6
28,141,243,0,50.9
5,142,37,0,40.6
8,142,245,0,69.3
5,143,34,0,45.9
9,144,29,0,65.4
10,144,62,0,65.0
25,145,30,0,56.0
26,145,57,0,100.0
27,145,90,0,83.3
28,145,240,0,91.9
21,146,35,0,9.8
1,147,28,0,77.0
2,147,58,0,53.6
5,148,31,0,81.9
6,148,57,0,80.8
7,148,89,0,65.4
8,148,240,0,56.1
21,149,27,0,62.3
22,149,58,0,77.5
23,149,91,0,79.7
24,149,239,0,53.1
1,150,34,0,66.4
21,151,29,0,73.8
22,151,57,0,78.4
23,151,91,0,84.6
24,151,237,0,96.7
5,152,34,0,80.9
6,152,61,0,57.0
7,152,93,0,58.3
8,152,246,0,45.7
25,153,35,0,42.6
26,153,60,0,18.7
27,153,95,0,20.2
28,153,245,0,36.3
9,154,33,0,33.1
10,154,59,0,43.2
11,154,90,0,17.0
12,154,244,0,29.9
13,155,31,0,82.4
14,155,57,0,60.1
15,155,91,0,78.9
16,155,241,0,60.6
17,156,34,0,46.2
18,156,64,0,86.5
19,156,90,0,45.6
20,156,244,0,59.6
1,157,30,0,42.0
2,157,66,0,64.5
3,157,97,0,59.9
4,157,239,0,58.0
13,158,30,0,47.7
14,158,57,0,90.3
15,158,90,0,89.8
16,158,239,0,83.7
13,159,30,0,49.6
21,160,35,0,25.2
22,160,65,0,26.5
23,160,90,0,52.5
24,160,246,0,30.9
25,161,31,0,76.0
26,161,66,0,80.0
27,161,95,0,58.5
28,161,241,0,50.9
17,162,37,0,57.0
18,162,60,0,53.0
19,162,96,0,66.9
20,162,242,0,65.5
9,163,28,0,67.9
10,163,61,0,84.6
11,163,89,0,78.9
12,163,239,0,90.2
9,164,33,0,65.5
10,164,64,0,45.9
12,164,241,0,53.0
9,165,34,0,55.3
10,165,65,0,77.8
21,166,31,0,63.7
9,167,29,0,59.8
10,167,65,0,63.3
11,167,90,0,51.4
12,167,239,0,52.1
5,168,34,0,60.0
6,168,67,0,27.3
7,168,96,0,52.7
8,168,247,0,78.3
9,169,32,0,65.9
10,169,61,0,66.1
11,169,91,0,63.2
12,169,241,0,37.7
1,170,37,0,57.6
2,170,63,0,59.5
3,170,96,0,52.6
4,170,239,0,68.5
1,171,34,0,52.6
2,171,64,0,42.3
3,171,95,0,52.9
4,171,240,0,47.4
1,172,37,0,40.1
2,172,62,0,78.7
3,172,93,0,50.3
4,172,243,0,59.4
21,173,33,0,40.8
22,173,60,0,66.6
23,173,94,0,47.5
24,173,246,0,20.0
21,174,29,0,74.1
22,174,58,0,73.2
23,174,87,0,58.1
24,174,238,0,63.7
17,175,31,0,59.3
