id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
1,AAA,2014B,M,Scotland,Lower Than A Level,10-20%,0-35,0,60,Y,Distinction
2,FFF,2014J,F,London,Lower Than A Level,0-10%,35-55,0,120,N,Distinction
3,EEE,2014J,M,South East,A Level or Equivalent,10-20%,0-35,0,90,N,Fail
4,DDD,2014B,F,North West,HE Qualification,60-70%,35-55,0,60,N,Pass
5,DDD,2013B,F,Wales,HE Qualification,0-10%,35-55,0,120,N,Fail
6,GGG,2014B,F,Yorkshire,HE Qualification,60-70%,55<=,0,60,Y,Pass
7,AAA,2014J,F,Wales,A Level or Equivalent,50-60%,0-35,2,60,N,Fail
8,EEE,2013B,F,Wales,HE Qualification,20-30%,0-35,0,60,N,Withdrawn
9,BBB,2014J,M,London,HE Qualification,0-10%,0-35,0,60,N,Pass
10,AAA,2014B,M,London,HE Qualification,10-20%,0-35,0,60,N,Pass
11,DDD,2014J,F,East Anglian,HE Qualification,10-20%,0-35,0,60,N,Distinction
12,GGG,2014J,M,South East,HE Qualification,50-60%,0-35,0,60,N,Withdrawn
13,FFF,2013B,F,Wales,Lower Than A Level,90-100%,0-35,0,60,N,Fail
14,FFF,2013B,M,Scotland,HE Qualification,40-50%,55<=,0,60,N,Fail
15,FFF,2014J,F,London,Post Graduate Qualification,60-70%,0-35,0,120,N,Pass
16,FFF,2014J,M,South East,Lower Than A Level,30-40%,0-35,0,90,Y,Withdrawn
17,DDD,2014B,M,North West,A Level or Equivalent,0-10%,35-55,0,60,N,Distinction
18,AAA,2013B,F,London,Post Graduate Qualification,20-30%,0-35,0,60,N,Pass
19,FFF,2013B,M,North West,A Level or Equivalent,40-50%,35-55,2,30,Y,Pass
20,DDD,2013B,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Fail
21,DDD,2014B,M,Wales,HE Qualification,20-30%,35-55,0,60,N,Withdrawn
22,CCC,2014J,F,East Anglian,Lower Than A Level,90-100%,35-55,2,90,Y,Withdrawn
23,BBB,2013B,M,London,HE Qualification,60-70%,35-55,0,60,N,Withdrawn
